Id,VIN,Model,MSRP,CreateDate
7774,WP0CB2A96CS154687,2012 Porsche The new 911 Carrera S Cabriole,131990,2017-02-04 17:19:08.530000000
7775,WP1AC29P79LA83296,2009 Porsche Cayenne Turbo S,137895,2017-02-04 17:31:37.713000000
7776,WP0AD29997S785347,2007 Porsche 911 Turbo Coupe,142175,2017-02-05 14:29:59.987000000
7777,WP1AB2A21BLA45829,2011 Porsche Cayenne S E2 I,86495,2017-02-05 14:50:17.097000000
7778,WP0AB29981S687780,2001 Porsche 911 Turbo Coupe,112610,2017-02-05 14:50:47.180000000
7779,WP1AB2A23BLA42219,2011 Porsche Cayenne S E2 I,74725,2017-02-05 15:13:05.953000000
7780,WP0AA29933S622101,2003 Porsche Carrera 4S Coupe,86975,2017-02-05 18:46:20.880000000
7781,WP0CD29969S773149,2009 Porsche 911 Turbo Cabriolet,144605,2017-02-05 18:56:50.120000000
7782,WP0CB29959S754968,2009 Porsche Carrera C4S Cabriolet,114120,2017-02-05 19:19:07.893000000
7783,WP0AD29938S783109,2008 Porsche 911 Turbo Coupe,132480,2017-02-05 22:50:21.460000000
7784,WP0AC2A98AS783336,2010 Porsche 911 GT3,128255,2017-02-05 22:53:42.597000000
7785,WP0AC29967S793067,2007 Porsche 911 GT3,136985,2017-02-05 23:17:08.267000000
7786,WP0AA29997S710642,2007 Porsche Carrera Coupe,80760,2017-02-05 23:43:25.723000000
7787,WP0AB2A94CS121582,2012 Porsche The new 911 Carrera S,117805,2017-02-06 06:58:38.600000000
7788,WP1AA2A21BLA08959,2011 Porsche Cayenne E2 I,58755,2017-02-06 08:27:49.700000000
7789,WP1AA2A20GLA05266,2016 Porsche Cayenne,64590,2017-02-06 10:18:49.037000000
7790,WP0AD29987S783542,2007 Porsche 911 Turbo Coupe,134885,2017-02-06 12:06:45.780000000
7791,WP0AB2A77FL051279,2015 Porsche Panamera S,104040,2017-02-06 16:33:38.363000000
7792,WP0AB29925S685111,2005 Porsche 911 Turbo S Coupe,134225,2017-02-06 18:37:40.487000000
7793,WP0AD29987S784447,2007 Porsche 911 Turbo Coupe,130990,2017-02-06 18:46:17.920000000
7794,WP0AB29939S721068,2009 Porsche Carrera S Coupe,107910,2017-02-06 18:51:41.447000000
7795,WP0AB29908S730261,2008 Porsche Carrera 4S Coupe,118130,2017-02-06 19:03:12.873000000
7796,WP1AB2A20BLA51489,2011 Porsche Cayenne S E2 I,88045,2017-02-06 19:29:11.087000000
7797,WP1AA2A25CLA09100,2012 Porsche Cayenne Tip E2 I,70605,2017-02-06 19:37:34.320000000
7798,WP0CB2A95AS754579,2010 Porsche Carrera C4S Cabriolet,119645,2017-02-06 19:58:46.993000000
7799,WP0AD29977S786366,2007 Porsche 911 Turbo Coupe,135370,2017-02-06 20:07:13.873000000
7800,WP0AB2A85EK192641,2014 Porsche Cayman S,73780,2017-02-06 21:59:07.080000000
7801,WP0AC2A96AS783495,2010 Porsche 911 GT3,132470,2017-02-06 22:32:11.277000000
7802,WP0AC2A94AS783088,2010 Porsche 911 GT3,132245,2017-02-06 22:34:36.803000000
7803,WP1AB2A56HLB11438,2017 Porsche Macan S,70445,2017-02-06 22:48:50.433000000
7804,WP0AC2A93AS783177,2010 Porsche 911 GT3,114620,2017-02-06 23:02:34.930000000
7805,WP0AC2A9XFS189211,2015 Porsche 911 GT3,174645,2017-02-06 23:12:45.770000000
7806,WP0AF2A94GS187253,2016 Porsche 911 GT3 RS,212185,2017-02-06 23:19:55.657000000
7807,WP0AB29991S687660,2001 Porsche 911 Turbo Coupe,112830,2017-02-06 23:33:15.140000000
7808,WP0AC2A91FS183734,2015 Porsche 911 GT3,165240,2017-02-06 23:34:22.517000000
7809,WP0AB29993S685099,2003 Porsche 911 Turbo Coupe,128975,2017-02-07 00:23:50.653000000
7810,WP0CB29975S675618,2005 Porsche 911 Turbo S Cabriolet,151660,2017-02-07 00:28:06.610000000
7811,WP0AB29992S687272,2002 Porsche 911 Turbo Coupe,117525,2017-02-07 00:43:31.580000000
7812,WP0AA2A95DS106447,2013 Porsche 911 Carrera,102050,2017-02-07 01:00:10.497000000
7813,WP0AB2A91CS120793,2012 Porsche The new 911 Carrera S,114980,2017-02-07 01:01:37.240000000
7814,WP0AA2A98DS108175,2013 Porsche 911 Carrera,102800,2017-02-07 01:05:21.140000000
7815,WP0AA2A97ES106337,2014 Porsche 911 Carrera,105070,2017-02-07 03:03:39.890000000
7816,WP0AB29923S687163,2003 Porsche 911 Turbo Coupe,119415,2017-02-07 09:57:42.697000000
7817,WP0AD29947S784168,2007 Porsche 911 Turbo Coupe,130930,2017-02-07 10:13:42.020000000
7818,WP0AB29902S686379,2002 Porsche 911 Turbo Coupe,118275,2017-02-07 10:26:32.420000000
7819,WP0AB299X3S686049,2003 Porsche 911 Turbo Coupe,125550,2017-02-07 10:27:29.163000000
7820,WP0CB29974S675780,2004 Porsche 911 Turbo Cabriolet,144545,2017-02-07 10:28:16.763000000
7821,WP0AB29902S687354,2002 Porsche 911 Turbo Coupe,147250,2017-02-07 10:34:02.340000000
7822,WP1AE2A22BLA92682,2011 Porsche Cayenne S Hybrid,84895,2017-02-07 11:27:41.540000000
7823,WP1AF2A21ELA37660,2014 Porsche Cayenne Diesel,73390,2017-02-07 11:33:08.310000000
7824,WP1AB2A29BLA49434,2011 Porsche Cayenne S E2 I,85400,2017-02-07 11:45:09.503000000
7825,WP1AB2A2XCLA47189,2012 Porsche Cayenne S,86150,2017-02-07 11:56:43.547000000
7826,WP1AB2A56FLB67697,2015 Porsche Macan S,59020,2017-02-07 12:36:55.617000000
7827,WP1AB2A5XFLB56332,2015 Porsche Macan S,68265,2017-02-07 12:39:26.917000000
7828,WP0AB2A97AS720537,2010 Porsche Carrera S Coupe,95705,2017-02-07 12:47:44.487000000
7829,WP1AB2A51FLB72239,2015 Porsche Macan S,52280,2017-02-07 13:16:07.517000000
7830,WP0AB2A9XCS121571,2012 Porsche The new 911 Carrera S,115235,2017-02-07 15:16:29.337000000
7831,WP0CA29927S765684,2007 Porsche Carrera 4 Cabriolet,98195,2017-02-07 15:33:17.250000000
7832,WP0AB2A93FS124252,2015 Porsche 911 Carrera 4S,137170,2017-02-07 15:40:43.420000000
7833,WP0AC2A70BL090951,2011 Porsche Panamera Turbo,164570,2017-02-07 17:08:22.357000000
7834,WP0AB2A91CS120132,2012 Porsche The new 911 Carrera S,119070,2017-02-07 17:31:09.893000000
7835,WP0AB2A90ES120738,2014 Porsche 911 Carrera 4S,125185,2017-02-07 18:19:30.500000000
7836,WP0CB2A95DS155654,2013 Porsche 911 Carrera 4S Cabriolet,139870,2017-02-07 18:22:39.197000000
7837,WP0AA2A93ES107064,2014 Porsche 911 Carrera,98875,2017-02-07 18:37:31.353000000
7838,WP0AA2A97CS106187,2012 Porsche The new 911 Carrera,89350,2017-02-07 18:39:13.260000000
7839,WP0AC2A96FS183700,2015 Porsche 911 GT3,156860,2017-02-07 19:14:41.660000000
7840,WP0AC2A93GS184076,2016 Porsche 911 GT3,144060,2017-02-07 19:16:12.400000000
7841,WP0CB29965S675464,2005 Porsche 911 Turbo S Cabriolet,145425,2017-02-07 19:19:28.873000000
7842,WP0CB29984S676338,2004 Porsche 911 Turbo Cabriolet,135625,2017-02-07 19:26:51.113000000
7843,WP0AB29903S685640,2003 Porsche 911 Turbo Coupe,127220,2017-02-07 19:43:53.670000000
7844,WP1AB2A55GLB43442,2016 Porsche Macan S,61350,2017-02-07 20:14:15.213000000
7845,WP1AB2A54GLB52813,2016 Porsche Macan S,63750,2017-02-07 20:16:44.243000000
7846,WP1AB2A50GLB45356,2016 Porsche Macan S,66810,2017-02-07 20:20:39.737000000
7847,WP0AB2A9XCS120467,2012 Porsche The new 911 Carrera S,111275,2017-02-07 20:52:49.703000000
7848,WP0AB2A97DS123201,2013 Porsche 911 Carrera S,123085,2017-02-07 21:51:57.783000000
7849,WP0AB29982S685934,2002 Porsche 911 Turbo Coupe,119410,2017-02-08 08:34:11.870000000
7850,WP0AA29904S622414,2004 Porsche Carrera 4S Coupe,97395,2017-02-08 08:38:24.823000000
7851,WP0AA29944S622335,2004 Porsche Carrera 4S Coupe,95995,2017-02-08 08:47:00.400000000
7852,WP0AD29997S783212,2007 Porsche 911 Turbo Coupe,127640,2017-02-08 09:42:29.080000000
7853,WP1AB2A57FLB50598,2015 Porsche Macan S,65810,2017-02-08 14:29:30.010000000
7854,WP0AB29992S685800,2002 Porsche 911 Turbo Coupe,124875,2017-02-08 14:36:49.713000000
7855,WP0AA2A96ES107897,2014 Porsche 911 Carrera,103990,2017-02-08 16:50:03.983000000
7856,WP0AA2A93HS106243,2017 Porsche 911 Carrera,121970,2017-02-08 18:07:41.440000000
7857,WP0CD2A98AS773265,2010 Porsche 911 Turbo Cabriolet,156780,2017-02-08 18:19:49.643000000
7858,WP1AF2A20DLA24543,2013 Porsche Cayenne Diesel,67315,2017-02-08 18:20:24.123000000
7859,WP1AF2A25ELA36902,2014 Porsche Cayenne Diesel,57595,2017-02-08 18:22:05.797000000
7860,WP1AF2A25DLA44237,2013 Porsche Cayenne Diesel,74390,2017-02-08 18:23:25.070000000
7861,WP1AF2A2XELA30657,2014 Porsche Cayenne Diesel,67215,2017-02-08 18:24:30.960000000
7862,WP1AC29P24LA92190,2004 Porsche Cayenne Turbo,92900,2017-02-08 19:14:16.480000000
7863,WP0AD2A94ES166874,2014 Porsche 911 Turbo,168740,2017-02-08 19:47:27.520000000
7864,WP0CD29938S708063,2008 Porsche 911 Turbo Cabriolet,148015,2017-02-08 21:39:27.250000000
7865,WP1AA2A26CLA01376,2012 Porsche Cayenne Tip E2 I,68270,2017-02-08 22:58:21.410000000
7866,WP1AF2A25DLA34890,2013 Porsche Cayenne Diesel,71510,2017-02-08 23:37:13.847000000
7867,WP1AF2A23DLA42356,2013 Porsche Cayenne Diesel,67900,2017-02-08 23:39:41.573000000
7868,WP0AB298X8U781794,2008 Porsche Cayman S Porsche Design Ed.,79500,2017-02-09 00:17:40.877000000
7869,WP0CD29949S773215,2009 Porsche 911 Turbo Cabriolet,150465,2017-02-09 06:24:37.453000000
7870,WP0AB29963S686811,2003 Porsche 911 Turbo Coupe,119320,2017-02-09 10:05:11.700000000
7871,WP0AC29954S692386,2004 Porsche 911 GT3,101755,2017-02-09 10:25:14.227000000
7872,WP0AA2A90DS107120,2013 Porsche 911 Carrera,86875,2017-02-09 11:34:17.003000000
7873,WP0AA2A97DS106921,2013 Porsche 911 Carrera,84300,2017-02-09 11:36:02.613000000
7874,WP0CA2A9XES140099,2014 Porsche 911 Carrera 4 Cabriolet,114225,2017-02-09 11:37:02.220000000
7875,WP1AB2A54FLB63616,2015 Porsche Macan S,55830,2017-02-09 11:53:11.520000000
7876,WP0AB2A98CS720937,2012 Porsche 911 Carrera 4S,113800,2017-02-09 13:21:00.977000000
7877,WP0AB29977S731602,2007 Porsche Carrera S Coupe,96530,2017-02-09 14:10:02
7878,WP0AB29962S686273,2002 Porsche 911 Turbo Coupe,119820,2017-02-09 14:42:40.007000000
7879,WP0AB29972S686878,2002 Porsche 911 Turbo Coupe,150855,2017-02-09 15:24:17.787000000
7880,WP0AA2A93CS106218,2012 Porsche The new 911 Carrera,99805,2017-02-09 17:06:59.243000000
7881,WP0AC2A95FS184255,2015 Porsche 911 GT3,151110,2017-02-09 18:37:53.430000000
7882,WP1AA2A26DLA12475,2013 Porsche Cayenne Tip E2 I,69075,2017-02-09 19:06:58.997000000
7883,WP1AA2A26ELA07245,2014 Porsche Cayenne Platinum Ed.,66840,2017-02-09 19:13:02.677000000
7884,WP1AD2A23DLA75993,2013 Porsche Cayenne GTS,99635,2017-02-09 19:13:53.343000000
7885,WP0CB29929S755009,2009 Porsche Carrera S Cabriolet,111840,2017-02-09 19:56:29.270000000
7886,WP1AE2A28CLA93689,2012 Porsche Cayenne S Hybrid,96315,2017-02-09 21:16:33.430000000
7887,WP1AB2A2XDLA81392,2013 Porsche Cayenne S E2 I,79450,2017-02-09 22:22:48.457000000
7888,WP0BB2A74EL062095,2014 Porsche Panamera 4S Executive,140940,2017-02-09 23:08:02.840000000
7889,WP0AC2A9XES183598,2014 Porsche 911 GT3,137655,2017-02-09 23:53:21.967000000
7890,WP0AB2A7XEL055289,2014 Porsche Panamera S,108400,2017-02-10 09:04:46.983000000
7891,WP1AB2A28BLA46749,2011 Porsche Cayenne S E2 I,70065,2017-02-10 10:05:31.127000000
7892,WP0AB2A97BS720135,2011 Porsche Carrera S Coupe,100365,2017-02-10 10:53:56.757000000
7893,WP0AB29991S687416,2001 Porsche 911 Turbo Coupe,134940,2017-02-10 11:20:58.360000000
7894,WP0AB2A92ES122359,2014 Porsche 911 50th Anniversary Edition,131445,2017-02-10 11:30:50.517000000
7895,WP0AD29908S783178,2008 Porsche 911 Turbo Coupe,135085,2017-02-10 11:39:25.683000000
7896,WP0CD2A96ES173088,2014 Porsche 911 Turbo Cabriolet,174780,2017-02-10 11:50:44.113000000
7897,WP0CD2A9XFS178621,2015 Porsche 911 Turbo S Cabriolet,212075,2017-02-10 12:04:42.903000000
7898,WP1AB2A27BLA42028,2011 Porsche Cayenne S E2 I,76490,2017-02-10 13:04:26.220000000
7899,WP1AD29P09LA61041,2009 Porsche Cayenne GTS Tiptronic,93820,2017-02-10 14:29:42.787000000
7900,WP1AC2A2XDLA92020,2013 Porsche Cayenne Turbo,122145,2017-02-10 14:54:20.360000000
7901,WP0AB2A97FS125906,2015 Porsche 911 Carrera 4S,123380,2017-02-10 15:36:59.920000000
7902,WP0AD29927S784105,2007 Porsche 911 Turbo Coupe,133990,2017-02-10 16:16:11.550000000
7903,WP0AB2A93CS121699,2012 Porsche The new 911 Carrera S,113515,2017-02-10 17:36:51.980000000
7904,WP1AE2A22CLA93056,2012 Porsche Cayenne S Hybrid,88485,2017-02-10 20:38:48.033000000
7905,WP0CB2A92AS754538,2010 Porsche Carrera C4S Cabriolet,119885,2017-02-10 21:10:34.640000000
7906,WP0CB2A92BS754654,2011 Porsche Carrera C4S Cabriolet,127050,2017-02-10 21:11:45.070000000
7907,WP0CB2A9XBS755244,2011 Porsche Carrera C4S Cabriolet,122500,2017-02-10 21:16:05.977000000
7908,WP0CB2A91CS754520,2012 Porsche 911 Carrera GTS Cabriolet,125800,2017-02-10 21:39:48.187000000
7909,WP0AC2A90FS189234,2015 Porsche 911 GT3,156760,2017-02-10 21:40:36.620000000
7910,WP0CB2A93CS754907,2012 Porsche 911 Carrera 4S Cabriolet,125855,2017-02-10 21:41:42.427000000
7911,WP0CB2A90BS755284,2011 Porsche Carrera C4S Cabriolet,123095,2017-02-10 21:46:55.160000000
7912,WP0CB2A97AS754776,2010 Porsche Carrera C4S Cabriolet,133805,2017-02-10 21:50:59.467000000
7913,WP0CB2A99CS754894,2012 Porsche Carrera C4S Cabriolet,123585,2017-02-10 22:00:41.367000000
7914,WP0CB2A95CS754522,2012 Porsche Carrera C4S Cabriolet,142685,2017-02-10 22:05:24.207000000
7915,WP0AB2A93CS121086,2012 Porsche The new 911 Carrera S,117545,2017-02-11 00:25:16.427000000
7916,WP0CB29944S676174,2004 Porsche 911 Turbo Cabriolet,134250,2017-02-11 12:30:02.987000000
7917,WP0CA29949S740272,2009 Porsche Carrera Cabriolet,93670,2017-02-11 12:58:20.350000000
7918,WP0CB2A94AS754833,2010 Porsche Carrera S Cabriolet,114235,2017-02-11 13:00:27.800000000
7919,WP0CB2A92AS754880,2010 Porsche Carrera S Cabriolet,111365,2017-02-11 13:02:35.763000000
7920,WP0AD2A95AS766121,2010 Porsche 911 Turbo Coupe,151870,2017-02-11 13:56:28.590000000
7921,WP0AA2A79FL005696,2015 Porsche Panamera,85555,2017-02-11 14:31:38.277000000
7922,WP0AB29888U782295,2008 Porsche Cayman S,63970,2017-02-11 16:56:54.310000000
7923,WP0CD2A94CS773413,2012 Porsche 911 Turbo S Cabriolet,182535,2017-02-11 18:36:44.743000000
7924,WP1AD2A2XDLA74405,2013 Porsche Cayenne GTS,99960,2017-02-11 20:01:10.207000000
7925,WP0CB29909S754859,2009 Porsche Carrera C4S Cabriolet,125840,2017-02-11 20:03:01.700000000
7926,WP1AD2A28DLA73561,2013 Porsche Cayenne GTS,94370,2017-02-11 20:09:10.717000000
7927,WP0AB29922S686402,2002 Porsche 911 Turbo Coupe,138380,2017-02-11 20:58:57.620000000
7928,WP0CB29954S675874,2004 Porsche 911 Turbo Cabriolet,128695,2017-02-11 22:41:50.600000000
7929,WP0CB29954S676619,2004 Porsche 911 Turbo Cabriolet,133780,2017-02-11 22:45:24.810000000
7930,WP0CB29974S676007,2004 Porsche 911 Turbo Cabriolet,141520,2017-02-11 23:14:12.043000000
7931,WP0CA29974S651059,2004 Porsche Carrera Cabriolet,130335,2017-02-11 23:27:07.283000000
7932,WP0CB29924S675962,2004 Porsche 911 Turbo Cabriolet,135545,2017-02-12 00:09:32.757000000
7933,WP0AF2A73EL083651,2014 Porsche Panamera GTS,157455,2017-02-12 04:27:28.983000000
7934,WP0AB2A73FL050792,2015 Porsche Panamera S,112540,2017-02-12 08:12:42.687000000
7935,WP0CB2A90CS754816,2012 Porsche 911 Carrera 4S Cabriolet,128410,2017-02-12 10:14:28.220000000
7936,WP0CB2A99BS755025,2011 Porsche Carrera S Cabriolet,114675,2017-02-12 10:41:58.930000000
7937,WP0CB2A90BS754684,2011 Porsche 911 Carrera GTS Cabriolet,126660,2017-02-12 10:51:28.553000000
7938,WP0AF2A74DL075881,2013 Porsche Panamera GTS,131840,2017-02-12 11:04:46.453000000
7939,WP0CB2A94DS155208,2013 Porsche 911 Carrera S Cabriolet,123465,2017-02-12 12:00:08.390000000
7940,WP0CB2A99DS155379,2013 Porsche 911 Carrera S Cabriolet,135140,2017-02-12 12:10:30.390000000
7941,WP1AB2A21BLA44504,2011 Porsche Cayenne S E2 I,78390,2017-02-12 14:00:16.090000000
7942,WP1AB2A22BLA43586,2011 Porsche Cayenne S E2 I,77590,2017-02-12 14:06:39.403000000
7943,WP1AB2A28BLA53149,2011 Porsche Cayenne S E2 I,85155,2017-02-12 14:11:12.877000000
7944,WP0CB29906S769535,2006 Porsche Carrera C4S Cabriolet,112030,2017-02-12 16:09:09.763000000
7945,WP1AE2A29BLA91867,2011 Porsche Cayenne S Hybrid,82985,2017-02-12 17:11:20.807000000
7946,WP0CB2A91BS754886,2011 Porsche Carrera C4S Cabriolet,128850,2017-02-12 17:12:35.230000000
7947,WP1AD2A25DLA79415,2013 Porsche Cayenne GTS,104955,2017-02-12 17:16:17.180000000
7948,WP0CA29934S650734,2004 Porsche Carrera Cabriolet,92095,2017-02-12 19:08:49.097000000
7949,WP0CD29958S789793,2008 Porsche 911 Turbo Cabriolet,146495,2017-02-12 20:34:05.930000000
7950,WP0CB2A97DS155610,2013 Porsche 911 Carrera S Cabriolet,123495,2017-02-12 21:46:29.183000000
7951,WP0AB2A75EL055801,2014 Porsche Panamera S,108825,2017-02-13 00:19:26.410000000
7952,WP1AB2A21BLA41960,2011 Porsche Cayenne S E2 I,82440,2017-02-13 01:49:58.823000000
7953,WP0AB2A9XES120813,2014 Porsche 911 Carrera S,113485,2017-02-13 06:06:25.627000000
7954,WP1AD2A20DLA74431,2013 Porsche Cayenne GTS,104470,2017-02-13 07:57:34.343000000
7955,WP0AB2A93CS720473,2012 Porsche 911 Carrera GTS,112950,2017-02-13 09:08:06.253000000
7956,WP0AF2A74DL076173,2013 Porsche Panamera GTS,127050,2017-02-13 11:17:05.750000000
7957,WP1AF2A57FLB90474,2015 Porsche Macan Turbo,84290,2017-02-13 11:50:22.790000000
7958,WP1AF2A51FLB92088,2015 Porsche Macan Turbo,88775,2017-02-13 11:51:17.880000000
7959,WP1AF2A51FLB94956,2015 Porsche Macan Turbo,86020,2017-02-13 11:52:36.780000000
7960,WP0AB2A72BL062071,2011 Porsche Panamera 4S,111535,2017-02-13 13:43:55.150000000
7961,WP0AD29958S783600,2008 Porsche 911 Turbo Coupe,144575,2017-02-13 14:08:53.910000000
7962,WP0AB2A91BS721071,2011 Porsche Carrera S Coupe,113085,2017-02-13 18:56:28.410000000
7963,WP1AB2A22DLA85372,2013 Porsche Cayenne S,84385,2017-02-13 19:10:38.317000000
7964,WP0CB29904S676009,2004 Porsche 911 Turbo Cabriolet,129125,2017-02-13 19:20:58.283000000
7965,WP0AA2A92DS107426,2013 Porsche 911 Carrera,108190,2017-02-13 19:38:13.807000000
7966,WP0AB29957S732571,2007 Porsche Carrera 4S Coupe,100075,2017-02-13 19:43:18.830000000
7967,WP1AD2A24ELA74689,2014 Porsche Cayenne GTS,104155,2017-02-13 19:59:39.540000000
7968,WP0CB29989S754804,2009 Porsche Carrera S Cabriolet,112400,2017-02-13 20:08:41.103000000
7969,WP0AD29967S785824,2007 Porsche 911 Turbo Coupe,137040,2017-02-13 20:09:05.530000000
7970,WP0AB29916S743405,2006 Porsche Carrera 4S Coupe,110020,2017-02-13 20:09:12.070000000
7971,WP0AB29999S721981,2009 Porsche Carrera S Coupe,107310,2017-02-13 20:12:36.933000000
7972,WP0AB29928S731914,2008 Porsche Carrera 4S Coupe,111765,2017-02-13 20:16:18.830000000
7973,WP0AB29957S732649,2007 Porsche Carrera 4S Coupe,107590,2017-02-13 20:21:43.727000000
7974,WP0CA299X9S740972,2009 Porsche Carrera Cabriolet,102190,2017-02-13 20:25:22.237000000
7975,WP0CA2A96AS740239,2010 Porsche Carrera Cabriolet,99465,2017-02-13 20:28:09.660000000
7976,WP0AB2A95AS720455,2010 Porsche Carrera 4S Coupe,110020,2017-02-13 21:09:39.933000000
7977,WP1AF2A26DLA24613,2013 Porsche Cayenne Diesel,72955,2017-02-13 22:17:07.537000000
7978,WP0AB29913S686425,2003 Porsche 911 Turbo Coupe,147595,2017-02-14 00:27:08.653000000
7979,WP0AC2A92BS783155,2011 Porsche 911 GT3 RS,140580,2017-02-14 06:49:07.547000000
7980,WP0CD29968S788085,2008 Porsche 911 Turbo Cabriolet,147055,2017-02-14 07:42:11.340000000
7981,WP1AA29P68LA02874,2008 Porsche Cayenne Tiptronic,58975,2017-02-14 08:36:58.033000000
7982,WP1AB29P78LA33337,2008 Porsche Cayenne S,87505,2017-02-14 08:37:46.200000000
7983,WP1AB29P38LA30712,2008 Porsche Cayenne S,74065,2017-02-14 08:40:24.343000000
7984,WP1AD2A2XDLA71181,2013 Porsche Cayenne GTS,94125,2017-02-14 16:21:25.890000000
7985,WP0CB29914S675077,2004 Porsche 911 Turbo Cabriolet,148725,2017-02-14 16:56:49.013000000
7986,WP1AE2A28CLA90730,2012 Porsche Cayenne S Hybrid,81265,2017-02-14 17:37:34.023000000
7987,WP0AB2A9XCS720759,2012 Porsche 911 Carrera GTS,112640,2017-02-14 18:33:29.167000000
7988,WP1AA2A20BLA03218,2011 Porsche Cayenne Tip E2 I,60000,2017-02-14 19:49:10.497000000
7989,WP1AD2A26DLA70108,2013 Porsche Cayenne GTS,100605,2017-02-14 20:28:07.747000000
7990,WP1AD2A26DLA77009,2013 Porsche Cayenne GTS,98960,2017-02-14 20:36:32.147000000
7991,WP1AD2A28DLA78212,2013 Porsche Cayenne GTS,103490,2017-02-14 20:38:49.173000000
7992,WP1AD2A25DLA71671,2013 Porsche Cayenne GTS,110845,2017-02-14 20:48:19.260000000
7993,WP1AD2A23DLA74889,2013 Porsche Cayenne GTS,96775,2017-02-14 21:00:50.770000000
7994,WP0CA29959S740328,2009 Porsche Carrera Cabriolet,102125,2017-02-14 21:47:10.453000000
7995,WP0CB2A99AS754441,2010 Porsche Carrera S Cabriolet,113025,2017-02-14 22:11:14.987000000
7996,WP0AB2A91CS120731,2012 Porsche The new 911 Carrera S,123660,2017-02-14 22:32:34.617000000
7997,WP0AC2A96AS783318,2010 Porsche 911 GT3,127420,2017-02-14 22:49:41.023000000
7998,WP0CA2A12FS800244,2015 Porsche 918 Spyder,864800,2017-02-14 23:18:00.627000000
7999,WP0AB2A91BS721118,2011 Porsche 911 Carrera GTS,123180,2017-02-14 23:45:19.453000000
8000,WP0AB29846U783666,2006 Porsche Cayman S,60635,2017-02-15 02:15:46.070000000
8001,WP1AE2A25BLA94006,2011 Porsche Cayenne S Hybrid,95470,2017-02-15 10:49:30.483000000
8002,WP1AE2A25BLA94006,2011 Porsche Cayenne S Hybrid,95470,2017-02-15 10:49:30.483000000
8003,WP1AB2A26BLA52274,2011 Porsche Cayenne S E2 I,78360,2017-02-15 10:53:50.623000000
8004,WP1AB29P68LA41039,2008 Porsche Cayenne S,69145,2017-02-15 12:37:39.587000000
8005,WP1AB29P68LA41039,2008 Porsche Cayenne S,69145,2017-02-15 12:37:39.587000000
8006,WP0CB29954S675566,2004 Porsche 911 Turbo Cabriolet,168695,2017-02-15 13:28:13.783000000
8007,WP0AC29927S792207,2007 Porsche 911 GT3,121305,2017-02-15 13:30:24.317000000
8008,WP0CB29954S675308,2004 Porsche 911 Turbo Cabriolet,136890,2017-02-15 13:32:29.193000000
8009,WP0AB29901S687840,2001 Porsche 911 Turbo Coupe,122205,2017-02-15 13:33:57.467000000
8010,WP1AA2A21BLA03065,2011 Porsche Cayenne Tip E2 I,61345,2017-02-15 13:55:57.297000000
8011,WP0AB29922S686528,2002 Porsche 911 Turbo Coupe,122285,2017-02-15 14:01:39.487000000
8012,WP0CA2A97DS140396,2013 Porsche 911 Carrera Cabriolet (991),104245,2017-02-15 14:07:22.980000000
8013,WP0AB299X1S687022,2001 Porsche 911 Turbo Coupe,114625,2017-02-15 15:42:04.463000000
8014,WP0AC2A87GK191989,2016 Porsche Cayman GT4,110015,2017-02-15 15:45:38.990000000
8015,WP0AD29967S785578,2007 Porsche 911 Turbo Coupe,129815,2017-02-15 18:40:26.170000000
8016,WP1AF2A29ELA34523,2014 Porsche Cayenne Diesel,72270,2017-02-15 18:52:12.100000000
8017,WP1AA2A27BLA07055,2011 Porsche Cayenne Tip E2 I,63900,2017-02-15 19:22:01.903000000
8018,WP0CB2A92DS155739,2013 Porsche 911 Carrera 4S Cabriolet,152360,2017-02-15 20:23:51.247000000
8019,WP0AB2A97FS124562,2015 Porsche 911 Carrera GTS,133685,2017-02-15 20:27:38.600000000
8020,WP0CB2A96DS155212,2013 Porsche 911 Carrera S Cabriolet,119860,2017-02-15 20:31:26.910000000
8021,WP0AB2A92DS121680,2013 Porsche The new 911 Carrera S,103835,2017-02-15 20:31:55.117000000
8022,WP0AB2A90DS121435,2013 Porsche 911 Carrera S,120950,2017-02-15 20:32:27.413000000
8023,WP0CA29919S741007,2009 Porsche Carrera Cabriolet,100130,2017-02-15 20:51:43.480000000
8024,WP0AA2A97AS706432,2010 Porsche Carrera Coupe,88960,2017-02-15 20:56:01.110000000
8025,WP0CD2A95HS178545,2017 Porsche 911 Turbo S Cabriolet,232845,2017-02-15 21:37:27.043000000
8026,WP1AD2A27DLA74152,2013 Porsche Cayenne GTS,102630,2017-02-15 21:40:35.837000000
8027,WP0AB29963S686825,2003 Porsche 911 Turbo Coupe,123615,2017-02-15 22:48:53.040000000
8028,WP0AB299X8S731286,2008 Porsche Carrera S Coupe,117800,2017-02-15 23:53:32.173000000
8029,WP0AB29949S721015,2009 Porsche Carrera S Coupe,101355,2017-02-16 06:01:09.277000000
8030,WP0AB2A71AL064750,2010 Porsche Panamera S,114695,2017-02-16 07:11:22.450000000
8031,WP0AB299X2S687393,2002 Porsche 911 Turbo Coupe,127535,2017-02-16 08:23:24.593000000
8032,WP0AD29917S784001,2007 Porsche 911 Turbo Coupe,129710,2017-02-16 10:14:15.300000000
8033,WP0AD29908S783567,2008 Porsche 911 Turbo Coupe,146455,2017-02-16 12:28:59.090000000
8034,WP0CD29978S788287,2008 Porsche 911 Turbo Cabriolet,144385,2017-02-16 12:32:40.430000000
